892;wing
893;tail
894;head
896;poem
900;to present (sth to sb)
901;to catch
902;looks (pl)
903;to begin
904;home
905;to illustrate
906;to speculate (on)
907;What is ... like?
908;perhaps
911;to calm down
913;tired
917;near
928;flat (BE)
929;worried
930;that
931;to imagine
934;interest
942;in the street
943;enough
944;to discuss
945;statement
948;difficult
949;disappointed
950;safe
951;scared
952;surprised
953;pleased
954;shocked
955;to be wrong
956;second
957;possible
958;I'd love to have
959;to give sth a go
960;the other one
961;to understand
962;animal shelter
963;real
964;to explain (sth to sb)
965;to practise
966;chameleon
972;fed
975;to look after
978;to get away
979;What a pity
980;to take away
982;drove
983;to miaow
986;not ... anymore
990;(it) makes me feel ...
991;unhappy
992;upset
993;news (pl)
997;to get back
999;care
1000;not even
1004;guinea pig
1006;What's wrong with ...?
1008;to get used to
1009;so
1012;toy
1013;to present (sth to sb)
1014;to decide
1015;Britain
1016;wish
1017;brochure
1019;sea (no pl)
1023;(a) must (no pl)
1025;fascinating
1029;centre
1030;adventure
1033;sailing
1034;mountain biking
1036;north
1041;roller coaster
1050;underground
1052;national
1054;coal
1061;attractive
1062;to rank
1063;English-speaking
1064;diary
1066;delighted
1067;Dear ...,
1071;central heating (no pl)
1073;to go surfing
1078;to be over
1079;That would be great.
1082;Things are looking up.
1083;feeling
1088;far
1096;to walk up
1097;lovely
1101;to go to the seaside
1102;seaside (BE, no pl)
1103;to go camping
1104;sightseeing (no pl)
1105;to do sightseeing
1106;to ride
1107;bike (informal)
1109;result
1111;to be called
1114;to help out
1115;entry
1119;around
1120;to rhyme
1121;suitcase
1122;shoe
1123;sunglasses (pl)
1124;hair dryer
1125;trainer
1126;swimsuit
1127;umbrella
1128;camera
1129;hiking boots (pl)
1130;boot
1131;wellington (boot) (BE)
1133;at the front (of)
1134;to go walking
1144;to be interested (in)
1145;tomorrow
1147;whale
1164;ending
1165;postcard
1166;to puzzle out
1168;to look forward to doing sth
1171;Wish you were here!
1172;love
1173;to send
1175;as ... as
1176;most
1177;to organize
1178;back
1179;to complete
1180;grid
1181;whose
1182;which
1183;best
1184;to prepare
1185;to ask (for sth)
1186;to collect
1187;home town
1188;to find out
1190;exciting
1191;camping (no pl)
1192;rainy
1193;cloudy
1194;foggy
1195;snowy
1197;to speak up
1198;clear
1204;to note down
1205;cute
1208;so
1213;no
1216;a small one
1217;boring
1222;to fall off
1224;both
1225;nobody
1227;to be left
1228;better
1229;so
1231;anyone
1233;after all
1234;phrase
1235;to structure
1236;first
1237;love
1238;city
1239;to fill in
1240;careful
1241;to compare
1242;delicious
1243;support
1244;scarf
1245;except
1250;everyone
1257;while
1258;if
1274;it's OK (informal)
1277;to be lost
1278;that
1279;structure
1280;e.g.
1284;connective
1285;direct speech
1288;which one
1289;trouble (no pl)
1290;to make sb angry
1291;to collect
1292;to get into trouble
1295;to guess
1296;head teacher
1297;that
1302;It won't happen again.
1303;I don't think so
1306;bored
1309;as
1313;to feel
1314;to express
1315;someone
1316;to feel sorry
1317;anything
1318;a few
1319;note
1320;each other
1326;how to
1327;to disagree
1328;to mark
1329;favourite
1330;material
1332;the BBC (= British Broadcasting Corporation)
1333;without
1335;announcement
1336;over
1337;PA (= public address) system
1338;role
1340;character
1341;what
1342;kind
1343;to plan
1344;polite
1345;to start a business
1346;to punish
1348;such
1349;to save money
1350;convincing
1351;language
1352;to act
1354;to get sth started
1358;Christmas
1359;decoration
1360;normal
1362;member
1364;Chinese New Year
1365;New Year
1368;to put up
1381;to keep away
1382;Hindu
1389;the best thing (about)
1390;to blow up
1391;Houses of Parliament
1393;king
1396;past
1399;baked potato
1401;to imagine
1402;would
1403;reason
1404;English-speaking
1405;Hogmanay
