Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
control (no pl);Kontrolle, Gewalt, Herrschaft;aktiv;4/B8;III;s;Make sure you always have control of everything on your profile on the Internet.;
roller coaster;Achterbahn;passiv;4/C1;III;s;;
Guess what!;Stell dir vor!, Rate mal!;passiv;4/C3;III;ph;Guess what, my brother Ben has a girlfriend! – No way!;
Valentine's card;Valentinskarte;passiv;4/C3;III;s;;
whoever;wer (auch immer);passiv;4/C3;III;p;;
it says;da(rauf) steht;passiv;4/C3;III;ph;;
the only one;der/die/das Einzige;passiv;4/C3;III;ph;;
to help oneself (to sth);sich (an etw) bedienen;passiv;4/C3;III;ph;;
mirror;Spiegel;passiv;4/C3;III;s;Gillian is standing in front of a mirror. She can't decide which top to wear.;ID 6114291
to hurry (up);sich beeilen;aktiv;4/C3;III;ph;Hurry up or we’ll be late! – I’m coming!;
myself;mir, mich, ich (selbst);aktiv;4/C4;III;p;;
yourself (pl yourselves);dich, dir, (du/Sie) selbst;aktiv;4/C4;III;p;;
himself;sich, (sich) selbst;aktiv;4/C4;III;p;;
herself;sich, (sich) selbst;aktiv;4/C4;III;p;;
itself;sich, (sich) selbst;aktiv;4/C4;III;p;;
ourselves;uns, wir;aktiv;4/C4;III;p;;
themselves;sich, sie selbst, (sich) selbst;aktiv;4/C4;III;p;;
use;Verwendung, (Be)nutzung, Gebrauch;aktiv;4/C4;III;s;The use of mobile phones in school is not allowed.;
to burn;(ab)brennen, verbrennen;aktiv;4/C5;III;v;Paul got too close to the fire and burned his hand.;
to wash;(sich) waschen;aktiv;4/C5;III;v;I have to wash my hands before dinner.;
to dress;sich anziehen;aktiv;4/C5;III;v;Rebecca was late for school, so she had to dress very quickly.;
to hurry;sich beeilen;aktiv;4/C5;III;v;;
to reassure sb;jdn (wieder) beruhigen;passiv;4/C6;III;ph;;
whether;(egal) ob;aktiv;4/C6;III;k;Sarah doesn’t know whether to go to the party or not.;
awkward;schwierig, unangenehm, peinlich;passiv;4/C6;III;a;;
to panic;in Panik geraten;passiv;4/C6;III;v;;
on one's own;(ganz) allein(e);aktiv;4/C6;III;ph;None of Pat’s friends could go swimming, so he had to go on his own.;
youth club;Jugendzentrum;passiv;4/C6;III;s;;
to relax;entspannen;aktiv;4/C6;III;v;William finds it easy to relax on holiday.;
shall;sollen, werden;aktiv;4/C8;III;v;Shall we go to the park?;
to turn up;erscheinen, auftauchen;aktiv;4/C9;III;ph;Tom wasn’t invited but he still turned up at the party.;
to appear;erscheinen, auftauchen, hier: scheinen;aktiv;4/C9;III;v;Victoria appears to be irritated. I wonder what is wrong?;
irritated;verärgert, gereizt;aktiv;4/C9;III;a;Victoria appears to be irritated. I wonder what is wrong?;ID 6301850
amused;amüsiert;aktiv;4/C9;III;a;That wasn’t funny. I’m not amused.;
to sympathize (with);mitfühlen (mit);aktiv;4/C9;III;ph;I know how you feel. I sympathize with you.;
mystery;Geheimnis, Rätsel;passiv;4/C9;III;s;;
outside (of);außerhalb (von);passiv;4/C9;III;pr;;
handwriting (no pl);Handschrift;passiv;4/C9;III;s;;
to solve;lösen;passiv;4/C9;III;v;;
What's wrong?;Was ist los?;passiv;4/C9;III;ph;;
to check in;einchecken, (sich) anmelden;passiv;4/C9;III;v;;
ending;Ende, Schluss;aktiv;4/C10;III;s;I was surprised by the ending of Romeo and Juliet because they both die.;
storyline;Handlung;passiv;4/C10;III;s;;
spelling (no pl);Rechtschreibung;aktiv;4/C10;III;s;The spelling of Welsh names can be very difficult.;
diverse;vielfältig, breit gefächert, unterschiedlich;aktiv;5/A;III;a;Britain is a very diverse place. There are lots of people from different cultures.;
exchange;(Aus)tausch;aktiv;5/A;III;s;Our school did an exchange with a school in Germany.;
to consider;nachdenken, betrachten, hier: berücksichtigen;aktiv;5/A2;III;v;Michael considered all of the choices carefully before making a decision.;
far;weit;aktiv;5/A3;III;a;Is Newcastle far from London? - Yes, it is.;
firstly;erstens;aktiv;5/A3;III;av;Firstly, he's already got a girlfriend, and secondly, he doesn't even like me.;
India;Indien;passiv;5/A3;III;s;;
Hindi (no pl);Hindi (Amtssprache in Indien);passiv;5/A3;III;s;;
above;über;aktiv;5/A3;III;pr;above ↔ below;
