Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
Welcome to Camden Town!;Willkommen in Camden Town!;passiv;Welcome;I;ph;;
Welcome to;Willkommen in;passiv;Welcome;I;ph;;
can;können;aktiv;Welcome;I;v;*can* <> *can't* / *cannot*;
can't (= cannot);nicht können;aktiv;Welcome;I;ph;;
to see;sehen;aktiv;Welcome;I;irr;I can *see* a car.;
a/an;ein(e);aktiv;Welcome;I;d;*a* car / *an* email;
car;Auto;aktiv;Welcome;I;s;;
I;ich;aktiv;Welcome;I;p;;
to listen to;zuhören, (an)hören;aktiv;Welcome;I;ph;*Listen to* the CD.;
and;und;aktiv;Welcome;I;k;;
my;mein(e);aktiv;Welcome;I;d;;
name;Name;aktiv;Welcome;I;s;;
My name is;Ich heiße;aktiv;Welcome;I;ph;;
is;ist;aktiv;Welcome;I;irr;;
What's your name?;Wie heißt du?;aktiv;Welcome;I;ph;;
hello;hallo!;aktiv;Welcome;I;i;;
I'm (= I am);ich bin, auch: ich heiße;aktiv;Welcome;I;ph;;
am;bin;aktiv;Welcome;I;irr;;
Hello, I'm …;Hallo, ich heiße …;aktiv;Welcome;I;ph;;
Where are you from?;Woher kommst du?;aktiv;Welcome;I;ph;;
you;du, dich, dir, Sie, Ihnen, ihr, euch;aktiv;Welcome;I;p;;
I'm from …;Ich komme aus …;aktiv;Welcome;I;ph;;
from;von, aus;aktiv;Welcome;I;pr;;
This is my brother/sister.;Das ist mein Bruder/meine Schwester.;aktiv;Welcome;I;ph;;
this;diese(r, s), das;aktiv;Welcome;I;p;;
brother;Bruder;aktiv;Welcome;I;s;;
sister;Schwester;aktiv;Welcome;I;s;;
How old are you?;Wie alt bist du?;aktiv;Welcome;I;ph;;
how;wie;aktiv;Welcome;I;av;;
old;alt;aktiv;Welcome;I;a;;
I'm ten.;Ich bin zehn (Jahre alt).;aktiv;Welcome;I;ph;;
are;bist, sind, seid;aktiv;Welcome;I;v;;
I'm eleven years old.;Ich bin elf (Jahre alt).;aktiv;Welcome;I;ph;;
We're twelve.;Wir sind zwölf (Jahre alt).;aktiv;Welcome;I;ph;;
I'm … years old.;Ich bin … Jahre alt.;aktiv;Welcome;I;ph;;
year;Jahr;aktiv;Welcome;I;s;;
we're (= we are);wir sind;aktiv;Welcome;I;ph;;
we;wir;aktiv;Welcome;I;p;;
too;auch;aktiv;Welcome;I;av;I like elephants, *too*.;
twin;Zwilling;passiv;Welcome;I;s;;
Elephants are my favourite animals.;Elefanten sind meine Lieblingstiere.;aktiv;Welcome;I;ph;;
elephant;Elefant;aktiv;Welcome;I;s;;
My favourite … is;Mein Lieblings… ist;aktiv;Welcome;I;ph;;
favourite;Lieblings-;aktiv;Welcome;I;a;;
animal;Tier;aktiv;Welcome;I;s;;
boring;langweilig;passiv;Welcome;I;a;;
don't (= do not);nicht tun, nicht machen;aktiv;Welcome;I;ph;;
to like;mögen;aktiv;Welcome;I;v;;
I like;Ich mag;aktiv;Welcome;I;ph;;
I don't like …;Ich mag … nicht.;aktiv;Welcome;I;ph;;
football;Fußball;aktiv;Welcome;I;s;;ID1383699
to read;lesen;aktiv;Welcome;I;irr;*Read* the text.;
the;der/die/das;aktiv;Welcome;I;d;;
What do you like?;Was magst du?;aktiv;Welcome;I;ph;;
What don't you like?;Was magst du nicht?;aktiv;Welcome;I;ph;;
What about you?;Was ist mit dir?;aktiv;Welcome;I;ph;;
what;was;aktiv;Welcome;I;p;;
picture;Bild;aktiv;Welcome;I;s;;
What's … in English?;Was bedeutet … auf Englisch?;aktiv;Welcome;I;ph;"*What's* ""Bild"" *in English?* - *Picture*.";
English;Englisch, englisch;aktiv;Welcome;I;s/a;;
in English;auf Englisch;aktiv;Welcome;I;ph;;
to write;schreiben;aktiv;Welcome;I;irr;;
to write down;aufschreiben, niederschreiben;aktiv;Welcome;I;irr;;
dog;Hund;aktiv;Welcome;I;s;;ID1383698
reading (no pl);Lesen;passiv;Welcome;I;s;;
phone number;Telefonnummer;passiv;Welcome;I;s;;
to find;finden;aktiv;Welcome;I;irr;Where is my bag? I can't *find* it.;
pet;Haustier;aktiv;Welcome;I;s;My *pet* is a dog.;
to play;spielen;aktiv;Welcome;I;v;;ID1383696
game;Spiel;aktiv;Welcome;I;s;;
Are you …?;Bist du …?;passiv;Welcome;I;ph;;
last name;Familienname;passiv;Welcome;I;s;;
How many ...?;Wie viele ...?;passiv;Welcome;I;ph;;
pink;rosa, pink;aktiv;Welcome;I;a;;
thing;Ding, Gegenstand, Sache;aktiv;Welcome;I;s;;
purple;violett, lila;aktiv;Welcome;I;a;;
red;rot;aktiv;Welcome;I;a;;
orange;orange, orange(farben);aktiv;Welcome;I;s/a;;
grey;grau;aktiv;Welcome;I;a;;
yellow;gelb;aktiv;Welcome;I;a;;
green;grün;aktiv;Welcome;I;a;;
black;schwarz;aktiv;Welcome;I;a;;
white;weiß;aktiv;Welcome;I;a;;
brown;braun;aktiv;Welcome;I;a;;
blue;blau;aktiv;Welcome;I;a;;
What are your hobbies?;Was sind deine Hobbies?;passiv;Welcome;I;ph;;
music;Musik;passiv;Welcome;I;s;;
dancing (no pl);Tanzen;passiv;Welcome;I;s;;
cat;Katze;aktiv;Welcome;I;s;*cat*;ID1383697
better than;besser als;passiv;Welcome;I;ph;;
with;mit;aktiv;Welcome;I;pr;;
shut up (informal);Halt deinen Mund!;passiv;Welcome;I;ph;;
I'm at Camden School for Girls.;Ich bin auf der Camden School for Girls.;passiv;Welcome;I;ph;;
school;Schule;aktiv;Welcome;I;s;;
for;für;aktiv;Welcome;I;pr;;
boy;Junge;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701
girl;Mädchen;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701
to go to school together;zusammen zur Schule gehen;passiv;Welcome;I;ph;;
he's (= he is);er ist;passiv;Welcome;I;ph;;
friend;Freund/in;aktiv;Welcome;I;s;;
yes;ja;aktiv;Welcome;I;av;*yes* <> *no*;
his;sein(e, r);aktiv;Welcome;I;d;#unter Jung Illu# *His* name is Alex.;ID1383695
her;ihr(e, r);aktiv;Welcome;I;d;# unter Mädchen Illu# *Her* name is Jo.;ID1383695
no;nein;aktiv;Welcome;I;av;;
So he isn't a baby like George.;Also ist er kein Baby wie George.;passiv;Welcome;I;ph;;
like;wie;passiv;Welcome;I;pr;;
on;auf;aktiv;Welcome;I;pr;;
bed;Bett;aktiv;Welcome;I;s;*bed*;ID1348821
you're (= you are);hier: du bist;passiv;Welcome;I;ph;;
colour;Farbe;aktiv;Welcome;I;s;;
are;hier: sind;aktiv;Welcome;I;irr;;
example;Beispiel;aktiv;Welcome;I;s;;
for example;zum Beispiel;aktiv;Welcome;I;ph;;
at school;in der Schule;passiv;1/A;I;ph;;
Monday;Montag;aktiv;1/A;I;s;;
what's (= what is);was ist;aktiv;1/A1;I;ph;*What's* your favourite sport?;
school bag;Schultasche;aktiv;1/A1;I;s;*school bag*;ID1376970
there;dort, da;aktiv;1/A1;I;av;;
there is/are;es gibt, da ist, da sind;aktiv;1/A1;I;ph;;
pen;Stift;aktiv;1/A1;I;s;*pen*;ID1348789
there's (= there is);es gibt, da ist;aktiv;1/A1;I;ph;;
pencil case;Federmäppchen;aktiv;1/A1;I;s;*pencil case*;ID1310567
paper (no pl);Papier;aktiv;1/A1;I;s;;
piece of paper;Blatt Papier;aktiv;1/A1;I;ph;*piece of paper*;ID1348825
pencil;Bleistift;aktiv;1/A1;I;s;*pencil*;ID1329997
scissors (only pl);Schere;aktiv;1/A1;I;s;*scissors*;ID1348783
glue (no pl);Klebstoff;aktiv;1/A1;I;s;*glue*;ID1348824
ruler;Lineal;aktiv;1/A1;I;s;*ruler*;ID1329998
word;Wort;aktiv;1/A2;I;s;"My favourite *word* is ""sandwich"".";
again;wieder, noch einmal;aktiv;1/A2;I;av;;
it's (= it is);es ist;aktiv;1/A2;I;ph;;
day;Tag;aktiv;1/A2;I;s;a year = 365 *days*;
homework planner;Hausaufgabenheft;passiv;1/A2;I;s;;
where;wo;aktiv;1/A2;I;av;;
where's (= where is);wo ist;aktiv;1/A2;I;ph;;
Where is …? / Where are …?;Wo ist …? / Wo sind …?;aktiv;1/A2;I;ph;*Where's ... ? = Where is ... ?*;
mobile (= mobile phone);Mobiltelefon, Handy;aktiv;1/A2;I;s;*mobile phone*;ID1348782
pocket money;Taschengeld;passiv;1/A2;I;s;;
that;das, der/die/das;aktiv;1/A2;I;p;;
that's (= that is);das ist;aktiv;1/A2;I;ph;;
not;nicht;aktiv;1/A2;I;av;That's not *funny*!;
that's not (= that is not);das ist nicht;aktiv;1/A2;I;ph;;
funny;lustig, witzig, komisch;aktiv;1/A2;I;a;;
book;Buch;aktiv;1/A2;I;s;*book*;ID1330000
apple;Apfel;aktiv;1/A2;I;s;;
now;jetzt, nun;aktiv;1/A2;I;av;;
bag;Tasche;aktiv;1/A2;I;s;;
heavy;schwer;passiv;1/A2;I;a;;
or;oder;aktiv;1/A4;I;k;;
room;Zimmer, Raum;aktiv;1/A4;I;s;;
right;richtig;aktiv;1/A4;I;a;*right* <> *wrong*;
wrong;FALSCH;aktiv;1/A4;I;a;;
next to;neben;aktiv;1/A4;I;pr;*next to*;ID1329975
in;in;aktiv;1/A4;I;pr;*in*;ID1329972
under;unter;aktiv;1/A4;I;pr;*under*;ID1329974
in front of;vor;aktiv;1/A4;I;pr;*in front of*;ID1329976
behind;hinter;aktiv;1/A4;I;pr;*behind*;ID1329978
between;zwischen;aktiv;1/A4;I;pr;*between*;ID1329977
exercise book;Heft;aktiv;1/A4;I;s;;
first;erste(r, s);passiv;1/B;I;a;;
at;auf, an, in, bei;aktiv;1/B1;I;pr;George is *at* William Ellis School.;
you're (= you are);du bist, ihr seid, Sie sind;aktiv;1/B1;I;ph;;
late;(zu) spät;aktiv;1/B1;I;a;;ID1389838
dad (informal);Papa, Vati;aktiv;1/B1;I;s;;
your;dein(e), euer/eure, Ihr(e);passiv;1/B1;I;d;;
tie;Krawatte;passiv;1/B1;I;s;;
bye (informal)/goodbye;tschüss;aktiv;1/B1;I;i;;
sorry;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;i;;
(I'm) sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;*Sorry* I'm late.;
I'm sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;;
card;Karte;aktiv;1/B1;I;s;;
great;groß, riesig, großartig, wunderbar;aktiv;1/B1;I;a;;
thanks;Danke;aktiv;1/B1;I;s;;
thank you;Danke;aktiv;1/B1;I;ph;You can have my pen. - *Thank you*.;
What about ...? (informal);Was ist mit ...?, Wie wäre es mit ...?;aktiv;1/B1;I;ph;*What about* a game of football?;
after;nach;aktiv;1/B1;I;pr;;
idea;Idee, Einfall;aktiv;1/B1;I;s;That's a great *idea*!;
isn't (= is not);ist nicht;aktiv;1/B1;I;ph;George *isn't* 18.;
Dad (informal);Papa, Vati;aktiv;1/B1;I;s;;
to be;sein;passiv;1/B4;I;irr;;
number;Zahl, Ziffer, Nummer;aktiv;1/B4;I;s;1, 4, 7, 10 are *numbers*.;
seven;sieben;aktiv;1/B5;I;a;;
one;eins, ein(e, er, es);aktiv;1/B5;I;a;;
two;zwei;aktiv;1/B5;I;a;;
three;drei;aktiv;1/B5;I;a;;
four;vier;aktiv;1/B5;I;a;;
five;fünf;aktiv;1/B5;I;a;;
six;sechs;aktiv;1/B5;I;a;;
eight;acht;aktiv;1/B5;I;a;;
nine;neun;aktiv;1/B5;I;a;;
ten;zehn;aktiv;1/B5;I;a;;
eleven;elf;aktiv;1/B5;I;a;;
twelve;zwölf;aktiv;1/B5;I;a;;
to say;sagen;aktiv;1/B6;I;irr;;
about;über, von;aktiv;1/B6;I;pr;a book *about* London.;
Are you OK?;Alles in Ordnung?;passiv;1/B6;I;ph;;
I'm (= I am);ich bin;passiv;1/B6;I;ph;;
new;neu;aktiv;1/B6;I;a;*new* <> old;
here;hier;aktiv;1/B6;I;av;;
went;ging;passiv;1/B6;I;irr;;
to;in, nach, zu, an;passiv;1/B6;I;pr;;
Mr (= Mister);Herr (Anrede);aktiv;1/B6;I;s;*Mr* Scott;ID1389841
Mrs;Frau (Anrede);aktiv;1/B6;I;;*Mrs* Scott;ID1389841
class;(Schul)klasse;aktiv;1/B6;I;s;;
too;zu;aktiv;1/B6;I;av;;
loud;laut;aktiv;1/B6;I;a;;
too loud;zu laut;aktiv;1/B6;I;av;;
classmate;Klassenkamerad/in, Mitschüler/in;aktiv;1/B6;I;s;Rajiv and George are *classmates*.;
they're (= they are);sie sind;passiv;1/B6;I;ph;;
very;sehr, außerordentlich;aktiv;1/B6;I;av;;
nice;schön, angenehm, nett, freundlich;aktiv;1/B6;I;a;;
to sit;sitzen;aktiv;1/B6;I;irr;;
he;er;passiv;1/B6;I;p;;
good;gut;aktiv;1/B6;I;a;;
to be good at;gut in … sein;aktiv;1/B6;I;ph;Rajiv *is good at* maths.;
maths (informal, pl);Mathe(unterricht);aktiv;1/B6;I;s;;
to let;lassen;aktiv;1/B6;I;irr;;
us;uns;aktiv;1/B6;I;p;;
let's (= let us);Lass(t) uns;aktiv;1/B6;I;ph;*Let's* play football.;
to start;anfangen;aktiv;1/B6;I;v;;
desk;Schreibtisch;aktiv;1/B7;I;s;;
uniform;Uniform;aktiv;1/B7;I;s;a girl in school *uniform*;ID1389851
to be;sein;aktiv;1/B8;I;irr;I *am*, you / we / they *are*, he / she / it / *is*;
she's (= she is);sie ist;passiv;1/B8;I;ph;;
he's (= he is);er ist;aktiv;1/B8;I;ph;;
she's (= she is);sie ist;aktiv;1/B8;I;ph;;
they're (= they are);sie sind;aktiv;1/B8;I;ph;;
aren't (= are not);bist nicht, seid nicht, sind nicht;aktiv;1/B8;I;ph;;
he;er;aktiv;1/B8;I;p;;
she;sie;aktiv;1/B8;I;p;;
it;es, er/sie/es;aktiv;1/B8;I;p;;
they;sie;aktiv;1/B8;I;p;;
about;über;passiv;1/B9;I;pr;;
answer;Antwort;aktiv;1/B9;I;s;*answer* <> *question*;
question;Frage;aktiv;1/B9;I;s;;
lesson;(Unterrichts)stunde;aktiv;1/B9;I;s;;
then;dann, danach, darauf;aktiv;1/B10;I;av;;
to ask;fragen;aktiv;1/B10;I;v;Can I *ask* a question?;
tall;groß, hoch (gewachsen);passiv;1/B10;I;a;;
why;warum;aktiv;1/B11;I;av;;
Indian;Inder/in, indisch;passiv;1/B11;I;s/a;;
mum (informal);Mama, Mutti;aktiv;1/B11;I;s;*mum* = mother;
Mum (informal);Mama, Mutti;aktiv;1/B11;I;s;;
father;Vater;aktiv;1/B11;I;s;;
to speak;sprechen;aktiv;1/B11;I;irr;George's parents *speak* Greek.;
Greek;Grieche/Griechin, griechisch;passiv;1/B11;I;s/a;;
but;aber;aktiv;1/B11;I;k;;
parents (pl);Eltern;aktiv;1/B11;I;s;;
Hindi (no pl);Hindi (Amtssprache in Indien);passiv;1/B11;I;s;;
at home;zu Hause;passiv;1/B11;I;ph;;
shop;Geschäft, Laden;aktiv;1/B11;I;s;*shop*;ID1389847
silly;albern, dumm;aktiv;1/B11;I;a;;
sometimes;manchmal;aktiv;1/B11;I;av;;
other;andere(r, s);passiv;1/B11;I;a;;
people (no pl);Leute, Menschen;aktiv;1/B11;I;s;;
family;Familie;aktiv;1/B11;I;s;;
grandparents (pl);Großeltern;aktiv;1/B11;I;s;;
aunt;Tante;aktiv;1/B11;I;s;;
uncle;Onkel;aktiv;1/B11;I;s;;
break;Pause;passiv;1/B11;I;s;;
break's over;die Pause ist vorbei;passiv;1/B11;I;ph;;
grandmother;Großmutter;aktiv;1/B11;I;s;;
grandfather;Großvater;aktiv;1/B11;I;s;;
them;sie, ihnen;aktiv;1/B11;I;p;;
mother;Mutter;aktiv;1/B11;I;s;;
son;Sohn;aktiv;1/B11;I;s;;
daughter;Tochter;aktiv;1/B11;I;s;;
cousin;Cousin, Cousine;aktiv;1/B11;I;s;;
husband;(Ehe)mann;aktiv;1/B11;I;s;;
wife;(Ehe)frau;aktiv;1/B11;I;s;;
more;(noch) mehr, weitere(r, s);aktiv;1/B12;I;p;;
your;dein(e), euer/eure, Ihr(e);aktiv;1/B13;I;d;;
our;unser(e);aktiv;1/B13;I;d;;
their;ihr(e);aktiv;1/B13;I;d;;
to have;haben;aktiv;1/B13;I;irr;;
house;Haus;aktiv;1/B13;I;s;*house*;ID1389835
its;sein(e), ihr(e);aktiv;1/B13;I;d;;
German;Deutsche/r, deutsch;aktiv;1/B14;I;s/a;;
library;Bibliothek, Bücherei;aktiv;1/C1;I;s;*library*;ID1389839 (Illu CTG 1, S. 165)
gym;Turnhalle;aktiv;1/C1;I;s;;
sports ground;Sportplatz;aktiv;1/C1;I;s;;
IT room;Computerraum;passiv;1/C1;I;s;;
assembly hall;(Versammlungs)saal, Aula;passiv;1/C1;I;s;;
science lab(oratory);wissenschaftliches Labor;passiv;1/C1;I;s;;
classroom;Klassenzimmer;aktiv;1/C2;I;s;*classroom*;ID1389828
to talk (to);sprechen, reden (mit);aktiv;1/C2;I;v;Can I *talk to* Sarah?;
to come;kommen;aktiv;1/C2;I;irr;You can *come* to my party.;
to feel;(sich) fühlen;passiv;1/C2;I;irr;;
bored;gelangweilt;passiv;1/C2;I;a;;
me;mir, mich;aktiv;1/C2;I;p;;
to live;leben, hier: wohnen;aktiv;1/C2;I;v;;
to go;gehen, fahren;aktiv;1/C2;I;irr;Let's *go* to school together.;
together;zusammen;aktiv;1/C2;I;av;;
to do;machen, tun;aktiv;1/C2;I;irr;;
to have lunch;zu Mittag essen;aktiv;1/C2;I;ph;;
lunch;Mittagessen;aktiv;1/C2;I;s;;
to make;machen, erstellen;aktiv;1/C3;I;irr;Can you *make* a pizza? - Yes, I can.;
Turkish;"Türkisch; türkisch";passiv;1/C3;I;s/a;;
timetable;Stundenplan;aktiv;1/C4;I;s;;
subject;(Schul)fach;aktiv;1/C4;I;s;;
dialogue;Gespräch, Dialog;aktiv;1/C4;I;s;;
to love;lieben, sehr mögen;aktiv;1/C4;I;v;;
music;Musik (als Schulfach);aktiv;1/C4;I;s;;
science;(Natur)wissenschaft;aktiv;1/C4;I;s;;
geography;Erdkunde, Geografie;aktiv;1/C4;I;s;;
today;heute;aktiv;1/C4;I;av;;
history;Geschichte (als Schulfach);aktiv;1/C4;I;s;;
RE (= religious education);Religionslehre;aktiv;1/C4;I;s;;
art;Kunst(unterricht);aktiv;1/C4;I;s;;
to hate;hassen, verabscheuen;aktiv;1/C4;I;v;to *hate* <> to love;
French;Französisch;aktiv;1/C4;I;s;;
IT (no pl) (= information technology);Informationstechnologie;aktiv;1/C4;I;s;;
PE (= physical education);Sport (als Schulfach);aktiv;1/C4;I;s;;
please;bitte;aktiv;1/C4;I;i;;
to look;aussehen;aktiv;1/C4;I;v;Your room *looks* great!;
puzzle;Rätsel, Fragespiel;passiv;1/C4;I;s;;
Tuesday;Dienstag;aktiv;1/C4;I;s;;
Wednesday;Mittwoch;aktiv;1/C4;I;s;;
technology;Technologie, Technik;aktiv;1/C4;I;s;;
Thursday;Donnerstag;aktiv;1/C4;I;s;;
Friday;Freitag;aktiv;1/C4;I;s;;
German;Deutsch(unterricht);aktiv;1/C4;I;s;;
Saturday;Samstag;aktiv;1/C4;I;s;;
Sunday;Sonntag;aktiv;1/C4;I;s;;
week;Woche;aktiv;1/C4;I;s;;
to clean;sauber machen, reinigen, putzen;aktiv;1/C7;I;v;Please *clean* the board.;
board;Brett, Tafel;aktiv;1/C7;I;s;;
to give;geben;aktiv;1/C7;I;irr;I can *give* you a pen.;
to sit down;sich (hin)setzen;aktiv;1/C7;I;irr;;
to help;helfen;aktiv;1/C7;I;v;Can I *help*?;
to open;öffnen;aktiv;1/C7;I;v;Can I *open* the window, please?;
window;Fenster;aktiv;1/C7;I;s;;
cold;kalt;aktiv;1/C7;I;a;;
quiet;leise, ruhig;aktiv;1/C7;I;a;;ID1389845
to put;setzen, legen, stellen;aktiv;1/C7;I;irr;;
phrase;Satz, Ausdruck;passiv;1/C8;I;s;;
her;ihr, sie;passiv;1/C8;I;p;;
rule;Regel;aktiv;1/C9;I;s;;
teacher;Lehrer/in;aktiv;1/C9;I;s;;
homework (no pl);Hausaufgabe(n);aktiv;1/C9;I;s;Don't do your *homework* in class.;
activity;Aktivität, Tätigkeit;aktiv;1/C11;I;s;;
pupil;Schüler/in;aktiv;1/C11;I;s;#links# *pupils*;ID1389849
to draw;zeichnen;aktiv;1/C11;I;irr;;
of;von;aktiv;1/C11;I;pr;a photo *of* Lisa;ID1389843
feedback;Feedback, Rückmeldung;passiv;1/C11;I;s;;
at home;zu Hause;aktiv;2/A;I;ph;;
time;Zeit, Uhrzeit;aktiv;2/A1;I;s;;
to sing;singen;aktiv;2/A1;I;irr;;
clock;Uhr;aktiv;2/A1;I;s;;
whatever;was auch immer, egal was;passiv;2/A1;I;p;;
to stop;aufhören, beenden;aktiv;2/A1;I;v;;ID1389844
half;halb, hier: dreißig Minuten;aktiv;2/A1;I;av;;
past;nach;aktiv;2/A1;I;pr;;
am (= ante meridiem);morgens, vormittags (nur hinter Uhrzeit zwischen Mitternacht und 12 Uhr mittags);aktiv;2/A1;I;av;;
pm (= post meridiem);nachmittags, abends (nur hinter Uhrzeit zwischen 12 Uhr mittags und Mitternacht);aktiv;2/A1;I;av;;
half past (seven);halb (acht);aktiv;2/A1;I;ph;;
to get up;aufstehen;aktiv;2/A1;I;irr;I *get up* at half past seven.;
to get dressed;sich anziehen;aktiv;2/A1;I;ph;I *get dressed* at seven o'clock.;
best;am besten;passiv;2/A1;I;av;;
at;auf, an, in, bei, hier: um;aktiv;2/A1;I;pr;*At* seven o'clock I watch TV.;
to take;(mit)nehmen;aktiv;2/A1;I;irr;I *take* the bus at eight o’clock. / I *take* a lot of books to school.;
to meet;(sich) treffen;aktiv;2/A1;I;irr;I *meet* my friends at school.;
to eat;essen, fressen;aktiv;2/A1;I;irr;Can you *eat* five hamburgers?;
to talk (about);sprechen (über), reden (über);aktiv;2/A1;I;v;When is your test? - I don't want to *talk about* it.;
to be fun;Spaß machen;aktiv;2/A1;I;ph;Reading *is fun*!;
to;in, nach, zu, an, hier: vor;aktiv;2/A1;I;pr;;
quarter (past/to);Viertel (nach/vor);aktiv;2/A1;I;s;;
tea;Tee;passiv;2/A1;I;s;;
to watch TV;fernsehen;aktiv;2/A1;I;ph;Let's *watch TV*. There is a great film about cats.;
to chat (to sb);(mit jdm) plaudern, chatten;passiv;2/A1;I;v;;
never;nie(mals);aktiv;2/A1;I;av;I *never* play football. I don't like it.;
to end;beenden, zu Ende bringen, hier: enden;passiv;2/A1;I;v;;
night;Nacht, Abend;aktiv;2/A1;I;s;*night* <> day;
verse;Strophe;passiv;2/A1;I;s;;
to go with;zu … gehören, zu … passen;passiv;2/A1;I;ph;;
(one) o'clock;(ein) Uhr;aktiv;2/A1;I;av;;
fun (no pl);Spaß;aktiv;2/A1;I;s;;
hour;Stunde;aktiv;2/A2;I;s;one *hour* = 60 minutes;
minute;Minute;aktiv;2/A2;I;s;;
quarter of an hour;Viertelstunde;aktiv;2/A2;I;ph;a *quarter of an hour* = 15 minutes;
half;halb;passiv;2/A2;I;av;;
half an hour;eine halbe Stunde;aktiv;2/A2;I;ph;*half an hour* = 30 minutes;
to mean;bedeuten, meinen;aktiv;2/A2;I;irr;A quarter of an hour *means* 15 minutes.;
to think of;denken an, sich ausdenken;aktiv;2/A3;I;irr;Can you *think of* a plan?;
to think;denken, glauben, meinen;aktiv;2/A3;I;irr;I *think* it's ten to eight.;
to work;arbeiten;passiv;2/A3;I;v;;
in the morning;am Morgen;aktiv;2/A4;I;ph;;
morning;Morgen;aktiv;2/A4;I;s;;
to have breakfast;frühstücken;aktiv;2/A4;I;ph;I *have breakfast* at 7 o'clock *in the morning*.;
breakfast;Frühstück;aktiv;2/A4;I;s;;
in the afternoon;am Nachmittag;aktiv;2/A4;I;ph;;
afternoon;Nachmittag;aktiv;2/A4;I;s;;
in the evening;am Abend;aktiv;2/A4;I;ph;*In the evening* I often read a book. Then I *go to bed*.;ID1389816
evening;Abend;aktiv;2/A4;I;s;;
to go to bed;ins Bett gehen;aktiv;2/A4;I;ph;;ID1389816
wall;Wand;aktiv;2/B1;I;s;;ID1389831
door;Tür;aktiv;2/B1;I;s;;ID1389831
cupboard;Schrank;aktiv;2/B1;I;s;*cupboard*;ID1389829
lamp;Lampe;aktiv;2/B1;I;s;*lamp*;ID1389837
carpet;Teppich;aktiv;2/B1;I;s;*carpet*;ID1389827
shelf (pl shelves);(Regal)brett, Bord;aktiv;2/B1;I;s;*shelf* (_pl_*shelves*);ID1348818
chair;Stuhl;aktiv;2/B1;I;s;*chair*;ID1348822
to tell;erzählen, sagen;aktiv;2/B1;I;irr;Please *tell* me your name.;
on;auf, hier: an;passiv;2/B1;I;pr;There's a picture on the wall.;
above;über;passiv;2/B1;I;pr;;
below;unter, unterhalb;passiv;2/B1;I;pr;;
to want;wünschen, wollen;aktiv;2/B3;I;v;;
sleepover;Übernachtung (bei Freunden);passiv;2/B3;I;s;;
to have got;haben;aktiv;2/B3;I;irr;;ID1389846
brilliant (BE, informal);hier: toll, klasse;passiv;2/B3;I;a;;
really;wirklich;aktiv;2/B3;I;av;I *really* like football.;
big;groß;aktiv;2/B3;I;a;;ID1389813
small;klein;aktiv;2/B3;I;a;;ID1389813
quite;ziemlich, ganz;passiv;2/B3;I;av;;
a lot (of);viel(e), eine Menge;aktiv;2/B3;I;ph;;
lots of (informal);viel(e), eine Menge;aktiv;2/B3;I;p;I love books. I've got *a lot of* books.;
of course;natürlich;aktiv;2/B3;I;ph;;
beautiful;schön;aktiv;2/B3;I;a;;
another;noch eine(r, s);aktiv;2/B3;I;a;;
eye;Auge;aktiv;2/B3;I;s;;
well;nun (ja), tja;aktiv;2/B3;I;i;;
must;müssen;aktiv;2/B3;I;v;You *must* go to school on Mondays.;
to know;wissen, kennen;aktiv;2/B3;I;irr;"I *know* the German word for ""dog"": _Hund_.";
if;wenn, falls, ob;passiv;2/B3;I;k;;
to sleep;schlafen;aktiv;2/B3;I;irr;;
all;alle(s);aktiv;2/B3;I;d;;
to be right;recht haben;aktiv;2/B3;I;ph;"""6 + 7 = 13"" - ""You'*re right*.""";
to choose;(aus)wählen;aktiv;2/B3;I;irr;There is a green pen and a red pen. You can *choose* one.;
terrible;schrecklich, furchtbar;aktiv;2/B3;I;a;;ID1389818
crazy;verrückt;aktiv;2/B3;I;a;;
fantastic (informal);fantastisch;aktiv;2/B3;I;a;;
interesting;interessant;aktiv;2/B3;I;a;;
who;wer;aktiv;2/B4;I;p;;
alone;allein;aktiv;2/B8;I;a;;
to invite;einladen;aktiv;2/B8;I;v;;ID1389836
job;Stelle, Job, hier: Arbeit;passiv;2/B8;I;s;;
to sweep the floor;den Boden fegen;aktiv;2/B8;I;ph;;
to sweep;kehren, fegen;aktiv;2/B8;I;v;;
floor;Boden;aktiv;2/B8;I;s;;
to load the dishwasher;die Spülmaschine einräumen;aktiv;2/B8;I;ph;;
dishwasher;Geschirrspülmaschine;aktiv;2/B8;I;s;;
to hoover;staubsaugen;aktiv;2/B8;I;v;;
living room;Wohnzimmer;aktiv;2/B8;I;s;;
to lay the table;den Tisch decken;aktiv;2/B8;I;ph;;
table;Tisch;aktiv;2/B8;I;s;;
to tidy (up);aufräumen;aktiv;2/B8;I;ph;;
this;diese(r, s);passiv;2/B8;I;d;;
always;immer;aktiv;2/B9;I;av;;
often;oft;aktiv;2/B9;I;av;;
around;um, hier: im;passiv;2/B9;I;pr;My sister never does jobs around the house.;
easy;leicht, einfach;aktiv;2/B9;I;a;5 + 5? That's *easy*!;
