_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2755;exchange;['exchange'];[('exchange', ['N 3sg'])];['E2520000'];['exchange'];[('exchange', ['N 3sg'])];[('exchange', 'N')];(Aus)tausch;[['tausch'], ['Austausch']];[''];[['28'], ['0828']];[''];[''];aktiv;5/A;III;s;Our school did an exchange with a school in Germany.;
2756;to consider;['to consider'];[('to', ['V TO']), ('consider', ['V INF'])];['T0 T5236000'];['consider'];[('consider', ['V INF'])];[('consider', 'V')];nachdenken, betrachten, hier: berücksichtigen;[['nachdenken'], ['betrachten'], ['berücksichtigen']];[''];[['642646'], ['127426'], ['17484246']];[''];[''];aktiv;5/A2;III;v;Michael considered all of the choices carefully before making a decision.;
2757;far;['far'];[('far', ['A'])];['F60'];['far'];[('far', ['A'])];[('far', 'A')];weit;[['weit']];[''];['32'];[''];[''];aktiv;5/A3;III;a;Is Newcastle far from London? - Yes, it is.;
2758;firstly;['firstly'];[('firstly', ['Adv'])];['F623400'];['firstly'];[('firstly', ['Adv'])];[('firstly', 'Adv')];erstens;[['erstens']];[''];['078268'];[''];[''];aktiv;5/A3;III;av;Firstly, he's already got a girlfriend, and secondly, he doesn't even like me.;
2759;India;['India'];[('India', ['PropN 3sg'])];['I5300'];['India'];[('India', ['PropN 3sg'])];[('India', 'PropN')];Indien;[['Indien']];[''];['0626'];[''];[''];passiv;5/A3;III;s;;
2760;Hindi (no pl);['Hindi'];[('Hindi', ['N 3sg'])];['H5300'];['Hindi'];[('Hindi', ['N 3sg'])];[('Hindi', 'N')];Hindi (Amtssprache in Indien);[['Hindi']];[''];['062'];[''];[''];passiv;5/A3;III;s;;
2761;above;['above'];[('above', ['Prep'])];['A1100'];['above'];[('above', ['Prep'])];[('above', 'Prep')];über;[['über']];[''];['017'];[''];[''];aktiv;5/A3;III;pr;above ↔ below;
2762;to be keen on sb/sth (informal) (irr);[['to be keen on'], ['to be keen on sb'], ['to be keen on sth']];[[('to', ['V TO']), ('be', ['V INF']), ('keen', ['A']), ('on', ['Prep'])]];[['T0 T0 T500 T5'], ['T0 T0 T500 T5 T1'], ['T0 T0 T500 T5 T30']];[['be', 'keen', 'on']];[[('be', ['V INF']), ('keen', ['A']), ('on', ['Prep'])]];[[('be', 'V'), ('keen', 'A'), ('on', 'Prep')]];auf jdn/etw scharf sein, hier auch: versessen sein auf;[['auf jdn scharf sein'], ['auf etw scharf sein'], ['versessen sein auf']];[''];[['03 026 873 86'], ['03 023 873 86'], ['37886 86 03']];[''];[''];aktiv;5/A3;III;ph;Alex is really keen on football. He loves it.;
2763;guitar;['guitar'];[('guitar', ['N 3sg'])];['G36000'];['guitar'];[('guitar', ['N 3sg'])];[('guitar', 'N')];Gitarre;[['Gitarre']];[''];['427'];[''];[''];aktiv;5/A3;III;s;;ID 5246356
2764;Turkey;['Turkey'];[('Turkey', ['PropN 3sg'])];['T62000'];['Turkey'];[('Turkey', ['PropN 3sg'])];[('Turkey', 'PropN')];Türkei;[['Türkei']];[''];['274'];[''];[''];passiv;5/A4;III;s;;
2765;medical;['medical'];[('medical', ['A'])];['M324000'];['medical'];[('medical', ['A'])];[('medical', 'A')];medizinisch, ärztlich;[['medizinisch'], ['ärztlich']];[''];[['62868'], ['078254']];[''];[''];aktiv;5/A4;III;a;If you need medical help, you should go to see a doctor.;
2766;dietary;['dietary'];[('dietary', ['A'])];['D360000'];['dietary'];[('dietary', ['A'])];[('dietary', 'A')];Ernährungs-, Ess-;[['Ernährungs-'], ['Ernährungs'], ['Ess-'], ['Ess']];[''];[['0767648'], ['0767648'], ['08'], ['08']];[''];[''];passiv;5/A4;III;a;;
2767;restriction;['restriction'];[('restriction', ['N 3sg'])];['R2362350000'];['restriction'];[('restriction', ['N 3sg'])];[('restriction', 'N')];Begrenzung, Beschränkung, Einschränkung;[['Begrenzung'], ['Beschränkung'], ['Einschränkung']];[''];[['1476864'], ['1876464'], ['06876464']];[''];[''];passiv;5/A4;III;s;;
2768;to go skiing (irr);['to go skiing'];[('to', ['V TO']), ('go', ['V INF']), ('skiing', ['V PROG'])];['T0 T0 T52000'];['go', 'ski'];[('go', ['V INF']), ('ski', ['V PROG'])];[('go', 'V'), ('ski', 'V')];Ski fahren gehen;[['Ski fahren gehen']];[''];['84 376 46'];[''];[''];aktiv;5/A4;III;ph;Fred and his family always go skiing in winter.;ID 6200999
2769;Asia;['Asia'];[('Asia', ['PropN'])];['A200'];['Asia'];[('Asia', ['PropN'])];[('Asia', 'PropN')];Asien;[['Asien']];[''];['086'];[''];[''];aktiv;5/A4;III;s;Japan is in Asia.;
2770;particularly;['particularly'];[('particularly', ['Adv'])];['P63246400000'];['particularly'];[('particularly', ['Adv'])];[('particularly', 'Adv')];besonders, vor allem;[['besonders'], ['vor allem']];[''];[['186278'], ['37 056']];[''];[''];aktiv;5/A4;III;av;Pete likes fruit, particularly apples.;
2771;piano;['piano'];[('piano', ['N 3sg'])];['P5000'];['piano'];[('piano', ['N 3sg'])];[('piano', 'N')];Klavier, Piano;[['Klavier'], ['Piano']];[''];[['4537'], ['16']];[''];[''];aktiv;5/A4;III;s;;
2772;divorced;['divorced'];[('divorced', [['A']])];['D1623000'];['divorce'];[('divorce', [['A']])];[('divorce', 'A')];geschieden;[['geschieden']];[''];['4826'];[''];[''];aktiv;5/A4;III;a;Tom’s parents are divorced so he lives with his dad.;
2773;to be allergic to sth (irr);[['to be allergic to'], ['to be allergic to sth']];[[('to', ['V TO']), ('be', ['V INF']), ('allergic', ['A']), ('to', ['V TO'])]];[['T0 T0 T4622000 T0'], ['T0 T0 T4622000 T0 T30']];[['be', 'allergic', 'to']];[[('be', ['V INF']), ('allergic', ['A']), ('to', ['V TO'])]];[[('be', 'V'), ('allergic', 'A'), ('to', 'V')]];auf etw allergisch reagieren, gegen etw allergisch sein;[['auf etw allergisch reagieren'], ['gegen etw allergisch sein']];[''];[['03 023 05748 7476'], ['446 023 05748 86']];[''];[''];aktiv;5/A4;III;ph;Sam is allergic to strawberries. It would be dangerous for him to eat them.;
