_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2811;tube;['tube'];[('tube', ['N 3sg'])];['T100'];['tube'];[('tube', ['N 3sg'])];[('tube', 'N')];Röhre, hier: die (Londoner) U-Bahn;[['Röhre'], ['die U-Bahn']];[''];[['77'], ['2 016']];[''];[''];passiv;5/B14;III;s;;
2812;embankment;['embankment'];[('embankment', ['N 3sg'])];['E515255300'];['embankment'];[('embankment', ['N 3sg'])];[('embankment', 'N')];(Straßen)damm, Böschung, Uferbefestigung;[['(Straßen)damm'], ['Straßendamm'], ['Böschung'], ['Uferbefestigung']];[''];[['82786  26'], ['8278626'], ['1864'], ['0371382464']];[''];[''];passiv;5/B14;III;s;;
2813;escalator;['escalator'];[('escalator', ['N 3sg'])];['E24360000'];['escalator'];[('escalator', ['N 3sg'])];[('escalator', 'N')];Rolltreppe;[['Rolltreppe']];[''];['75271'];[''];[''];aktiv;5/B14;III;s;;
2814;bridge;['bridge'];[('bridge', ['N 3sg'])];['B63200'];['bridge'];[('bridge', ['N 3sg'])];[('bridge', 'N')];Brücke;[['Brücke']];[''];['174'];[''];[''];aktiv;5/B14;III;s;;ID 5004903
2815;artist;['artist'];[('artist', ['N 3sg'])];['A63230'];['artist'];[('artist', ['N 3sg'])];[('artist', 'N')];Künstler/in;[['Künstler'], ['Künstlerin']];[''];[['468257'], ['4682576']];[''];[''];aktiv;5/B14;III;s;;
2816;statue;['statue'];[('statue', ['N 3sg'])];['S33000'];['statue'];[('statue', ['N 3sg'])];[('statue', 'N')];Statue;[['Statue']];[''];['822'];[''];[''];passiv;5/B14;III;s;;
2817;fish and chips (no pl);['fish and chips'];[('fish', ['N 3sg', 'N 3pl']), ('and', ['Conj']), ('chips', ['N 3pl'])];['F200 F53 F1200'];['fish', 'and', 'chip'];[('fish', ['N 3sg', 'N 3pl']), ('and', ['Conj']), ('chip', ['N 3pl'])];[('fish', 'N'), ('and', 'Conj'), ('chip', 'N')];fritierter Fisch mit Pommes frites;[['fritierter Fisch mit Pommes frites']];[''];['372727 38 62 168 3728'];[''];[''];aktiv;5/B14;III;s;Fish and chips is a very popular meal in England.;
2818;cyclist;['cyclist'];[('cyclist', ['N 3sg'])];['C242300'];['cyclist'];[('cyclist', ['N 3sg'])];[('cyclist', 'N')];Radfahrer/in;[['Radfahrer'], ['Radfahrerin']];[''];[['72377'], ['723776']];[''];[''];aktiv;5/B14;III;s;;ID 1383691
2819;to take a (closer) look at sth (irr);[['to take a look at sth'], ['to take a look at'], ['to take a closer look at sth'], ['to take a closer look at']];[[('to', ['V TO']), ('take', ['V INF']), ('a', ['Det']), ('look', ['N 3sg']), ('at', ['Prep'])], [('to', ['V TO']), ('take', ['V INF']), ('a', ['Det']), ('closer', ['A COMP']), ('look', ['N 3sg']), ('at', ['Prep'])]];[['T0 T200 T T200 T3 T30'], ['T0 T200 T T200 T3'], ['T0 T200 T T42600 T200 T3 T30'], ['T0 T200 T T42600 T200 T3']];[['take', 'a', 'look', 'at'], ['take', 'a', 'closer', 'look', 'at']];[[('take', ['V INF']), ('a', ['Det']), ('look', ['N 3sg']), ('at', ['Prep'])], [('take', ['V INF']), ('a', ['Det']), ('closer', ['A COMP']), ('look', ['N 3sg']), ('at', ['Prep'])]];[[('take', 'V'), ('a', 'Det'), ('look', 'N'), ('at', 'Prep')], [('take', 'V'), ('a', 'Det'), ('closer', 'A'), ('look', 'N'), ('at', 'Prep')]];sich etw (genauer) ansehen;[['sich etw ansehen'], ['sich etw genauer ansehen']];[''];[['84 023 0686'], ['84 023 467 0686']];[''];[''];aktiv;5/B14;III;ph;;
2820;structure;['structure'];[('structure', ['N 3sg'])];['S36236000'];['structure'];[('structure', ['N 3sg'])];[('structure', 'N')];Struktur, Aufbau;[['Struktur'], ['Aufbau']];[''];[['827427'], ['031']];[''];[''];aktiv;5/B14;III;s;;
2821;to be into sb/sth (informal, irr);[['to be into'], ['to be into sb'], ['to be into sth']];[[('to', ['V TO']), ('be', ['V INF']), ('into', ['Prep'])]];[['T0 T0 T530'], ['T0 T0 T530 T1'], ['T0 T0 T530 T30']];[['be', 'into']];[[('be', ['V INF']), ('into', ['Prep'])]];[[('be', 'V'), ('into', 'Prep')]];an jdm/etw interessiert sein;[['an jdm interessiert sein'], ['an etw interessiert sein']];[''];[['06 026 0627872 86'], ['06 023 0627872 86']];[''];[''];aktiv;5/C;III;ph;Danielle is really into music. She likes it a lot.;
2822;pinboard;['pinboard'];[('pinboard', ['N'])];['P5163000'];['pinboard'];[('pinboard', ['N'])];[('pinboard', 'N')];Pinnwand;[['Pinnwand']];[''];['16362'];[''];[''];passiv;5/C1;III;s;;
2823;Formula 1 (no pl);['Formula 1'];[('Formula', ['N 3sg']), ('1', ['CD'])];['F654000 F'];['formula', '@card@'];[('formula', ['N 3sg']), ('@card@', ['CD'])];[('formula', 'N'), ('@card@', 'CD')];Formel 1;[['Formel 1']];[''];['3765'];[''];[''];passiv;5/C1;III;s;;
2824;heptathlon (no pl);['heptathlon'];[('heptathlon', ['N'])];['H133450000'];['heptathlon'];[('heptathlon', ['N'])];[('heptathlon', 'N')];Siebenkampf;[['Siebenkampf']];[''];['8164613'];[''];[''];passiv;5/C1;III;s;;
2825;athlete;['athlete'];[('athlete', ['N 3sg'])];['A343000'];['athlete'];[('athlete', ['N 3sg'])];[('athlete', 'N')];Athlet/in;[['Athlet'], ['Athletin']];[''];[['0252'], ['02526']];[''];[''];aktiv;5/C2;III;s;There were athletes from all over the world at the Olympic Games in London.;
2826;to develop;['to develop'];[('to', ['V TO']), ('develop', ['V INF'])];['T0 T141000'];['develop'];[('develop', ['V INF'])];[('develop', 'V')];entwickeln, entstehen, erarbeiten;[['entwickeln'], ['entstehen'], ['erarbeiten']];[''];[['0623456'], ['06826'], ['077126']];[''];[''];aktiv;5/C4;III;v;;
2827;elbow;['elbow'];[('elbow', ['N 3sg'])];['E4100'];['elbow'];[('elbow', ['N 3sg'])];[('elbow', 'N')];Ell(en)bogen;[['Ellbogen'], ['Ellenbogen']];[''];[['05146'], ['056146']];[''];[''];aktiv;5/C4;III;s;;ID 1389838
2828;talented;['talented'];[('talented', ['A'])];['T4533000'];['talented'];[('talented', ['A'])];[('talented', 'A')];talentiert, begabt;[['talentiert'], ['begabt']];[''];[['256272'], ['1412']];[''];[''];aktiv;5/C4;III;a;;
2829;sprinter;['sprinter'];[('sprinter', ['N 3sg'])];['S1653600'];['sprinter'];[('sprinter', ['N 3sg'])];[('sprinter', 'N')];(Kurzstrecken)läufer/in;[['läufer/in'], ['Kurzstreckenläufer/in']];[''];[['5376'], ['47827465376']];[''];[''];passiv;5/C4;III;s;;
2830;passion;['passion'];[('passion', ['N 3sg'])];['P250000'];['passion'];[('passion', ['N 3sg'])];[('passion', 'N')];Passion, Vorliebe, Leidenschaft;[['Passion'], ['Vorliebe'], ['Leidenschaft']];[''];[['186'], ['3751'], ['526832']];[''];[''];aktiv;5/C4;III;s;;
2831;to compete;['to compete'];[('to', ['V TO']), ('compete', ['V INF'])];['T0 T513000'];['compete'];[('compete', ['V INF'])];[('compete', 'V')];wetteifern, antreten, kämpfen;[['wetteifern'], ['antreten'], ['kämpfen']];[''];[['32376'], ['062726'], ['46136']];[''];[''];aktiv;5/C4;III;v;Would you like to compete in the Olympics?;
2832;career;['career'];[('career', ['N 3sg'])];['C66000'];['career'];[('career', ['N 3sg'])];[('career', 'N')];Beruf, Karriere, Werdegang;[['Beruf'], ['Karriere'], ['Werdegang']];[''];[['173'], ['477'], ['372464']];[''];[''];aktiv;5/C4;III;s;career = job;
2833;Paralympics (only pl);['Paralympics'];[('Paralympics', ['PropN pl'])];['P6451200000'];['Paralympics'];[('Paralympics', ['PropN pl'])];[('Paralympics', 'PropN')];olympische Spiele für Behinderte;[['olympische Spiele für Behinderte']];[''];['05618 815 37 16272'];[''];[''];passiv;5/C4;III;s;;
2834;in addition (to);[['in addition'], ['in addition to']];[[('in', ['Prep']), ('addition', ['N 3sg'])], [('in', ['Prep']), ('addition', ['N 3sg']), ('to', ['V TO'])]];[['I5 I3350000'], ['I5 I3350000 I0']];[['in', 'addition'], ['in', 'addition', 'to']];[[('in', ['Prep']), ('addition', ['N 3sg'])], [('in', ['Prep']), ('addition', ['N 3sg']), ('to', ['V TO'])]];[[('in', 'Prep'), ('addition', 'N')], [('in', 'Prep'), ('addition', 'N'), ('to', 'V')]];zusätzlich (zu);[['zusätzlich'], ['zusätzlich zu']];[''];[['88854'], ['88854 8']];[''];[''];aktiv;5/C4;III;ph;;
2835;to be keen to do sth (irr);[['to be keen to do'], ['to be keen to do sth']];[[('to', ['V TO']), ('be', ['V INF']), ('keen', ['A']), ('to', ['V TO']), ('do', ['V INF'])]];[['T0 T0 T500 T0 T0'], ['T0 T0 T500 T0 T0 T30']];[['be', 'keen', 'to', 'do']];[[('be', ['V INF']), ('keen', ['A']), ('to', ['V TO']), ('do', ['V INF'])]];[[('be', 'V'), ('keen', 'A'), ('to', 'V'), ('do', 'V')]];etw unbedingt tun wollen;[['etw unbedingt tun wollen']];[''];['023 0612642 26 356'];[''];[''];aktiv;5/C4;III;ph;I am keen to go to Scotland because it looks interesting.;
2836;to continue doing sth/to do sth;[['to continue doing'], ['to continue doing sth'], ['to continue doing to']];[[('to', ['V TO']), ('continue', ['V INF']), ('doing', ['V PROG'])], [('to', ['V TO']), ('continue', ['V INF']), ('doing', ['V PROG']), ('to', ['V TO'])]];[['T0 T5350000 T5200'], ['T0 T5350000 T5200 T30'], ['T0 T5350000 T5200 T0']];[['continue', 'doing'], ['continue', 'doing', 'to']];[[('continue', ['V INF']), ('doing', ['V PROG'])], [('continue', ['V INF']), ('doing', ['V PROG']), ('to', ['V TO'])]];[[('continue', 'V'), ('doing', 'V')], [('continue', 'V'), ('doing', 'V'), ('to', 'V')]];weiter(hin) etw tun;[['weiter(hin) etw tun'], ['weiterhin etw tun']];[''];[['327  06  023 26'], ['3276 023 26']];[''];[''];aktiv;5/C4;III;ph;to continue doing sth ↔ to stop doing sth;
2837;to focus;['to focus'];[('to', ['V TO']), ('focus', ['V INF'])];['T0 T2200'];['focus'];[('focus', ['V INF'])];[('focus', 'V')];sich konzentrieren, fokussieren;[['sich konzentrieren'], ['fokussieren']];[''];[['84 46862776'], ['34876']];[''];[''];aktiv;5/C4;III;v;to focus = to concentrate;
2838;ambition;['ambition'];[('ambition', ['N 3sg'])];['A5135000'];['ambition'];[('ambition', ['N 3sg'])];[('ambition', 'N')];Ehrgeiz, Ambition(en), (angestrebtes) Ziel;[['Ehrgeiz'], ['Ambition'], ['Ambitionen'], ['Ziel'], ['angestrebtes Ziel']];[''];[['0748'], ['06126'], ['061266'], ['85'], ['064827128 85']];[''];[''];aktiv;5/C4;III;s;Zoe’s ambition is to be a doctor.;
2839;to attend;['to attend'];[('to', ['V TO']), ('attend', ['V INF'])];['T0 T35300'];['attend'];[('attend', ['V INF'])];[('attend', 'V')];besuchen, hier: gehen auf;[['besuchen'], ['gehen auf']];[''];[['1846'], ['46 03']];[''];[''];aktiv;5/C4;III;v;After school many young people attend university.;
2840;intelligence (no pl);['intelligence'];[('intelligence', ['N 3sg'])];['I53425200000'];['intelligence'];[('intelligence', ['N 3sg'])];[('intelligence', 'N')];Intelligenz;[['Intelligenz']];[''];['0625468'];[''];[''];aktiv;5/C4;III;s;;
2841;determination (no pl);['determination'];[('determination', ['N 3sg'])];['D365535000000'];['determination'];[('determination', ['N 3sg'])];[('determination', 'N')];Entschlossenheit, Entschiedenheit, Bestimmung;[['Entschlossenheit'], ['Entschiedenheit'], ['Bestimmung']];[''];[['0685862'], ['068262'], ['182664']];[''];[''];aktiv;5/C4;III;s;;
2842;speed;['speed'];[('speed', ['N 3sg'])];['S1300'];['speed'];[('speed', ['N 3sg'])];[('speed', 'N')];Geschwindigkeit, Tempo;[['Geschwindigkeit'], ['Tempo']];[''];[['4836242'], ['261']];[''];[''];aktiv;5/C4;III;s;;
2843;strength (no pl);['strength'];[('strength', ['N 3sg'])];['S3652300'];['strength'];[('strength', ['N 3sg'])];[('strength', 'N')];Kraft, Stärke;[['Kraft'], ['Stärke']];[''];[['4732'], ['8274']];[''];[''];aktiv;5/C4;III;s;He is famous for his strength.;ID 4754619
2844;to be used to doing sth (irr);[['to be used to doing'], ['to be used to doing sth']];[[('to', ['V TO']), ('be', ['V INF']), ('used', ['V PPART WK', 'V PPART', 'V INF', 'V PAST WK', 'V PAST']), ('to', ['V TO']), ('doing', ['V PROG'])]];[['T0 T0 T230 T0 T5200'], ['T0 T0 T230 T0 T5200 T30']];[['be', 'used', 'to', 'doing']];[[('be', ['V INF']), ('used', ['V PPART WK', 'V PPART', 'V INF', 'V PAST WK', 'V PAST']), ('to', ['V TO']), ('doing', ['V PROG'])]];[[('be', 'V'), ('used', 'V'), ('to', 'V'), ('doing', 'V')]];gewohnt sein, etw zu tun;[['gewohnt sein'], ['etw zu tun']];[''];[['4362 86'], ['023 8 26']];[''];[''];aktiv;5/C4;III;ph;Mary is used to working hard at school.;
2845;to achieve;['to achieve'];[('to', ['V TO']), ('achieve', ['V INF'])];['T0 T210000'];['achieve'];[('achieve', ['V INF'])];[('achieve', 'V')];erreichen, erlangen, erzielen;[['erreichen'], ['erlangen'], ['erzielen']];[''];[['0746'], ['075646'], ['07856']];[''];[''];passiv;5/C4;III;v;;
2846;someone else;['someone else'];[('someone', ['Pron']), ('else', [['Pron']])];['S550000 S420'];['someone', 'else'];[('someone', ['Pron']), ('else', [['Pron']])];[('someone', 'Pron'), ('else', 'Pron')];jemand anders;[['jemand anders']];[''];['0662 06278'];[''];[''];aktiv;5/C6;III;p;Is this your pen? – No, it belongs to someone else.;
2847;warm-up;['warm-up'];[('warm-up', ['N 3pl'])];['W651000'];['warm'];[('warm', ['N 3pl'])];[('warm', 'N')];(sich) aufwärmen, Warm-up-;[['aufwärmen'], ['sich aufwärmen'], ['Warm-up-'], ['Warm-up']];[''];[['03766'], ['84 03766'], ['3761'], ['3761']];[''];[''];passiv;5/C6;III;s;;
2848;exercise;['exercise'];[('exercise', ['N 3sg'])];['E2622000'];['exercise'];[('exercise', ['N 3sg'])];[('exercise', 'N')];Übung, Aufgabe;[['Übung'], ['Aufgabe']];[''];[['0164'], ['0341']];[''];[''];aktiv;5/C6;III;s;;
2849;samosa;['samosa'];[('samosa', ['N'])];['S52000'];['samosa'];[('samosa', ['N'])];[('samosa', 'N')];indische Teigtasche;[['indische Teigtasche']];[''];['0628 2428'];[''];[''];passiv;5/C6;III;s;;
2850;to taste;['to taste'];[('to', ['V TO']), ('taste', ['V INF'])];['T0 T2300'];['taste'];[('taste', ['V INF'])];[('taste', 'V')];schmecken;[['schmecken']];[''];['8646'];[''];[''];aktiv;5/C6;III;v;I think ice cream tastes nicer than vegetables.;
2851;exhausting;['exhausting'];[('exhausting', ['V PROG'])];['E223520000'];['exhaust'];[('exhaust', ['V PROG'])];[('exhaust', 'V')];anstrengend;[['anstrengend']];[''];['068276462'];[''];[''];aktiv;5/C6;III;a;It was very exhausting for him to run for the bus.;ID 1389838
2852;professional;['professional'];[('professional', ['A'])];['P61254000000'];['professional'];[('professional', ['A'])];[('professional', 'A')];beruflich, Berufs-, professionell;[['beruflich'], ['Berufs-'], ['Berufs'], ['professionell']];[''];[['17354'], ['1738'], ['1738'], ['173865']];[''];[''];aktiv;5/C6;III;a;;
2853;World Cup (no pl);['World Cup'];[('World', ['N 3sg']), ('Cup', ['N 3sg'])];['W6430 W10'];['world', 'cup'];[('world', ['N 3sg']), ('cup', ['N 3sg'])];[('world', 'N'), ('cup', 'N')];Fußballweltmeisterschaft;[['Fußballweltmeisterschaft']];[''];['38153526827832'];[''];[''];passiv;5/C6;III;s;;
2854;to fall asleep (irr);['to fall asleep'];[('to', ['V TO']), ('fall', ['V INF']), ('asleep', ['A'])];['T0 T400 T24100'];['fall', 'asleep'];[('fall', ['V INF']), ('asleep', ['A'])];[('fall', 'V'), ('asleep', 'A')];einschlafen;[['einschlafen']];[''];['068536'];[''];[''];aktiv;5/C6;III;ph;I was so tired, I fell asleep at dinnertime.;
2855;bad;['bad'];[('bad', ['A'])];['B30'];['bad'];[('bad', ['A'])];[('bad', 'A')];schlecht, hier: faul;[['schlecht'], ['faul']];[''];[['8542'], ['35']];[''];[''];aktiv;5/C8;III;a;;
2856;the great outdoors;['the great outdoors'];[('the', ['Det']), ('great', ['A']), ('outdoors', ['Adv'])];['T00 T6300 T3620000'];['the', 'great', 'outdoors'];[('the', ['Det']), ('great', ['A']), ('outdoors', ['Adv'])];[('the', 'Det'), ('great', 'A'), ('outdoors', 'Adv')];die freie Natur;[['die freie Natur']];[''];['2 37 627'];[''];[''];passiv;6/A;III;ph;;
2857;blurb;['blurb'];[('blurb', ['N 3sg'])];['B4610'];['blurb'];[('blurb', ['N 3sg'])];[('blurb', 'N')];Klappentext;[['Klappentext']];[''];['45162482'];[''];[''];passiv;6/A1;III;s;;
2858;novel;['novel'];[('novel', ['N 3sg'])];['N1400'];['novel'];[('novel', ['N 3sg'])];[('novel', 'N')];Roman;[['Roman']];[''];['766'];[''];[''];aktiv;6/A1;III;s;This novel is fun to read.;ID 5077206
2859;to be set (irr);['to be set'];[('to', ['V TO']), ('be', ['V INF']), ('set', ['V PPART STR', 'V PAST STR', 'V INF'])];['T0 T0 T30'];['be', 'set'];[('be', ['V INF']), ('set', ['V PPART STR', 'V PAST STR', 'V INF'])];[('be', 'V'), ('set', 'V')];liegen, hier: spielen;[['liegen'], ['spielen']];[''];[['546'], ['8156']];[''];[''];aktiv;6/A1;III;ph;The film is set in the future.;
2860;climate (no pl);['climate'];[('climate', ['N 3sg'])];['C453000'];['climate'];[('climate', ['N 3sg'])];[('climate', 'N')];Klima;[['Klima']];[''];['456'];[''];[''];aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
2861;change;['change'];[('change', ['N 3sg'])];['C52000'];['change'];[('change', ['N 3sg'])];[('change', 'N')];(Ver)änderung, Wechsel, Umstellung, hier: Wandel;[['änderung'], ['Veränderung'], ['Wechsel'], ['Umstellung'], ['Wandel']];[''];[['062764'], ['3762764'], ['3485'], ['0682564'], ['3625']];[''];[''];aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
2862;to cause;['to cause'];[('to', ['V TO']), ('cause', ['V INF'])];['T0 T2000'];['cause'];[('cause', ['V INF'])];[('cause', 'V')];verursachen;[['verursachen']];[''];['377846'];[''];[''];aktiv;6/A1;III;v;Climate change is believed to cause natural disasters like big storms.;
2863;natural;['natural'];[('natural', ['A'])];['N364000'];['natural'];[('natural', ['A'])];[('natural', 'A')];natürlich, angeboren, Natur-;[['natürlich'], ['angeboren'], ['Natur-'], ['Natur']];[''];[['62754'], ['064176'], ['627'], ['627']];[''];[''];aktiv;6/A1;III;a;;
2864;disaster;['disaster'];[('disaster', ['N 3sg'])];['D2236000'];['disaster'];[('disaster', ['N 3sg'])];[('disaster', 'N')];Katastrophe, Unglück;[['Katastrophe'], ['Unglück']];[''];[['428273'], ['06454']];[''];[''];aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
2865;storm;['storm'];[('storm', ['N 3sg'])];['S3650'];['storm'];[('storm', ['N 3sg'])];[('storm', 'N')];Gewitter, Unwetter, (Protest)sturm;[['Gewitter'], ['Unwetter'], ['sturm'], ['Proteststurm']];[''];[['4327'], ['06327'], ['8276'], ['1728276']];[''];[''];aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
2866;flooding (no pl);['flooding'];[('flooding', ['V PROG'])];['F4352000'];['flood'];[('flood', ['V PROG'])];[('flood', 'V')];Überflutung, Überschwemmung;[['Überflutung'], ['Überschwemmung']];[''];[['01735264'], ['01783664']];[''];[''];passiv;6/A1;III;s;;
2867;government;['government'];[('government', ['N 3sg'])];['G165530000'];['government'];[('government', ['N 3sg'])];[('government', 'N')];Regierung(s-);[['Regierung']];[''];['74764'];[''];[''];aktiv;6/A1;III;s;;
2868;carbon (no pl);['carbon'];[('carbon', ['N 3sg'])];['C61500'];['carbon'];[('carbon', ['N 3sg'])];[('carbon', 'N')];Kohlenstoff;[['Kohlenstoff']];[''];['456823'];[''];[''];passiv;6/A1;III;s;;
2869;oil;['oil'];[('oil', ['N 3sg'])];['O40'];['oil'];[('oil', ['N 3sg'])];[('oil', 'N')];Öl;[['Öl']];[''];['05'];[''];[''];passiv;6/A1;III;s;;
2870;ocean;['ocean'];[('ocean', ['N 3sg'])];['O2500'];['ocean'];[('ocean', ['N 3sg'])];[('ocean', 'N')];Ozean, (Welt)meer;[['Ozean'], ['meer'], ['Weltmeer']];[''];[['086'], ['67'], ['35267']];[''];[''];aktiv;6/A1;III;s;;
2871;damage (no pl);['damage'];[('damage', ['N 3sg'])];['D52000'];['damage'];[('damage', ['N 3sg'])];[('damage', 'N')];Schaden, (Be)schädigung;[['Schaden'], ['schädigung'], ['Beschädigung']];[''];[['826'], ['82464'], ['182464']];[''];[''];aktiv;6/A1;III;s;;
2872;to clean up;['to clean up'];[('to', ['V TO']), ('clean', ['V INF']), ('up', ['V INF'])];['T0 T4500 T1'];['clean', 'up'];[('clean', ['V INF']), ('up', ['V INF'])];[('clean', 'V'), ('up', 'V')];sauber machen, reinigen, putzen, hier: abbauen, eindämmen;[['sauber machen'], ['reinigen'], ['putzen'], ['abbauen'], ['eindämmen']];[''];[['817 646'], ['7646'], ['186'], ['016'], ['06266']];[''];[''];aktiv;6/A1;III;v;After natural disasters, people have to work together to clean up the damage.;
2873;consequence;['consequence'];[('consequence', ['N 3sg'])];['C5225200000'];['consequence'];[('consequence', ['N 3sg'])];[('consequence', 'N')];Folge, Konsequenz;[['Folge'], ['Konsequenz']];[''];[['354'], ['468468']];[''];[''];aktiv;6/A1;III;s;The accident happened as a consequence of the bad weather.;
2874;informative;['informative'];[('informative', ['A'])];['I5165310000'];['informative'];[('informative', ['A'])];[('informative', 'A')];informativ;[['informativ']];[''];['0637623'];[''];[''];aktiv;6/A1;III;a;Clara thought her science lesson was very informative. She learned a lot.;
2875;Scottish;['Scottish'];[('Scottish', ['A'])];['S3200000'];['Scottish'];[('Scottish', ['A'])];[('Scottish', 'A')];schottisch;[['schottisch']];[''];['828'];[''];[''];passiv;6/A1;III;a;;
2876;to explode;['to explode'];[('to', ['V TO']), ('explode', ['V INF'])];['T0 T214300'];['explode'];[('explode', ['V INF'])];[('explode', 'V')];explodieren, sprengen;[['explodieren'], ['sprengen']];[''];[['04815276'], ['817646']];[''];[''];passiv;6/A1;III;v;;
2877;oil rig;['oil rig'];[('oil', ['N 3sg']), ('rig', ['N 3sg'])];['O40 O20'];['oil', 'rig'];[('oil', ['N 3sg']), ('rig', ['N 3sg'])];[('oil', 'N'), ('rig', 'N')];Ölplattform;[['Ölplattform']];[''];['05152376'];[''];[''];passiv;6/A1;III;s;;
2878;to prevent;['to prevent'];[('to', ['V TO']), ('prevent', ['V INF'])];['T0 T615300'];['prevent'];[('prevent', ['V INF'])];[('prevent', 'V')];verhindern;[['verhindern']];[''];['376276'];[''];[''];aktiv;6/A1;III;v;Sometimes the government has to act quickly to prevent a catastrophe.;
2879;wit (no pl);['wit'];[('wit', ['N 3sg'])];['W30'];['wit'];[('wit', ['N 3sg'])];[('wit', 'N')];Witz, Geist, Verstand;[['Witz'], ['Geist'], ['Verstand']];[''];[['38'], ['482'], ['378262']];[''];[''];aktiv;6/A1;III;s;Pia likes films that are full of clever wit and action.;
2880;violence (no pl);['violence'];[('violence', ['N 3sg'])];['V4520000'];['violence'];[('violence', ['N 3sg'])];[('violence', 'N')];Gewalt(tätigkeit), Heftigkeit;[['Gewalt'], ['Gewalttätigkeit'], ['Heftigkeit']];[''];[['4352'], ['4352242'], ['03242']];[''];[''];aktiv;6/A1;III;s;;
2881;enjoyable;['enjoyable'];[('enjoyable', ['A'])];['E52140000'];['enjoyable'];[('enjoyable', ['A'])];[('enjoyable', 'A')];angenehm, nett, unterhaltsam;[['angenehm'], ['nett'], ['unterhaltsam']];[''];[['06466'], ['62'], ['0627586']];[''];[''];aktiv;6/A1;III;a;enjoyable = entertaining;
2882;guide;['guide'];[('guide', ['N 3sg'])];['G3000'];['guide'];[('guide', ['N 3sg'])];[('guide', 'N')];Führer/in, hier: Reiseführer;[['Führer'], ['Führerin'], ['Reiseführer']];[''];[['377'], ['3776'], ['78377']];[''];[''];passiv;6/A1;III;s;;
2883;must (no pl);['must'];[('must', ['N 3sg'])];['M230'];['must'];[('must', ['N 3sg'])];[('must', 'N')];Muss;[['Muss']];[''];['68'];[''];[''];aktiv;6/A1;III;s;If you go to the Louvre, the Mona Lisa is a must.;
2884;to provide;['to provide'];[('to', ['V TO']), ('provide', ['V INF'])];['T0 T613000'];['provide'];[('provide', ['V INF'])];[('provide', 'V')];bereitstellen, bieten, liefern;[['bereitstellen'], ['bieten'], ['liefern']];[''];[['178256'], ['126'], ['5376']];[''];[''];aktiv;6/A1;III;v;This city guide provides fascinating facts and tips.;
2885;incredible;['incredible'];[('incredible', ['A'])];['I526314000'];['incredible'];[('incredible', ['A'])];[('incredible', 'A')];unglaublich;[['unglaublich']];[''];['0645154'];[''];[''];passiv;6/A1;III;a;;
2886;to sink (irr);['to sink'];[('to', ['V TO']), ('sink', ['V INF'])];['T0 T520'];['sink'];[('sink', ['V INF'])];[('sink', 'V')];sinken;[['sinken']];[''];['8646'];[''];[''];passiv;6/A1;III;v;;
2887;underwater;['underwater'];[('underwater', ['A', 'Adv'])];['U536360000'];['underwater'];[('underwater', ['A', 'Adv'])];[[('underwater', 'A')], [('underwater', 'Adv')]];Unterwasser-, unter Wasser;[['Unterwasser-'], ['Unterwasser'], ['unter Wasser']];[''];[['0627387'], ['0627387'], ['0627 387']];[''];[''];passiv;6/A1;III;a/av;;
2888;original;['original'];[('original', ['A'])];['O6254000'];['original'];[('original', ['A'])];[('original', 'A')];ursprünglich, hier: originell, außergewöhnlich;[['ursprünglich'], ['originell'], ['außergewöhnlich']];[''];[['078176454'], ['07465'], ['08743654']];[''];[''];aktiv;6/A1;III;a;;
2889;page-turner (informal);['page-turner'];[('page-turner', ['N'])];['P2365600000'];['page-turner'];[('page-turner', ['N'])];[('page-turner', 'N')];ein fesselndes Buch;[['ein fesselndes Buch']];[''];['06 385628 14'];[''];[''];passiv;6/A1;III;s;;
2890;detailed;['detailed'];[('detailed', ['A'])];['D3430000'];['detail'];[('detail', ['A'])];[('detail', 'A')];detailliert, genau, ausführlich;[['detailliert'], ['genau'], ['ausführlich']];[''];[['22572'], ['46'], ['083754']];[''];[''];aktiv;6/A1;III;a;Liz did a lot of research and wrote a detailed report about the environment.;
2891;loch;['loch'];[('loch', ['N 3sg'])];['L200'];['loch'];[('loch', ['N 3sg'])];[('loch', 'N')];schottische Bezeichnung für See oder Meeresarm;[['schottische Bezeichnung für See oder Meeresarm']];[''];['828 184664 37 8 027 67876'];[''];[''];passiv;6/A1;III;s;;
2892;foreground;['foreground'];[('foreground', ['N 3sg'])];['F626530000'];['foreground'];[('foreground', ['N 3sg'])];[('foreground', 'N')];Vordergrund, Mittelpunkt;[['Vordergrund'], ['Mittelpunkt']];[''];[['37274762'], ['6251642']];[''];[''];aktiv;6/A1;III;s;foreground ↔ background;
